ComentarioCrudo,ComentarioLimpio
Misericordia papi Dios de tus hijos,Misericordia papi Dios de tus hijos
QEPD,QEPD
"Que lamentable paz a sus restos, mucha fortaleza a toda su familia.","Que lamentable paz a sus restos, mucha fortaleza a toda su familia."
"Que triste, lamentable noticia, Dios sea dando consuelo!!","Que triste, lamentable noticia, Dios sea dando consuelo!!"
Adiós Diogo,Adiós Diogo
"Dios le de el descanso eterno y a su flia mucha fortaleza,es muy triste todo esto","Dios le de el descanso eterno y a su flia mucha fortaleza,es muy triste todo esto"
QEPD un gran jugador,QEPD un gran jugador
Seguro fue por exceso de velocidad,Seguro fue por exceso de velocidad
Que tristeza que ingunsta es la vida,Que tristeza que ingunsta es la vida
"Que dolor tan grandes, descansa en paz Diogo y hermano , fortaleza a su familia","Que dolor tan grandes, descansa en paz Diogo y hermano , fortaleza a su familia"
Dios que triste el fútbol te llora maestro dios te tenga en su gloria,Dios que triste el fútbol te llora maestro dios te tenga en su gloria
Cómo así,Cómo así
Porque tiene que pasar ésas cosas,Porque tiene que pasar ésas cosas
"Todos los fanáticos del fútbol estamos en shock
. Vuelen alto tu hermano y tú","Todos los fanáticos del fútbol estamos en shock
. Vuelen alto tu hermano y tú"
Una trajedia,Una trajedia
D.E.P. erasy serás siempre un crack,D.E.P. erasy serás siempre un crack
Mis condolencia ala familia,Mis condolencia ala familia
Huy cómo así que le pasó que gran jugador era vengo despertando y veo está noticia,Huy cómo así que le pasó que gran jugador era vengo despertando y veo está noticia
Se casó cómo Dios manda i la muerte lo separó cómo dios manda también,Se casó cómo Dios manda i la muerte lo separó cómo dios manda también
No puedo con tanto,No puedo con tanto
La.vida es fragil...un dia estamos ..y al otro no sabemos....,La.vida es fragil...un dia estamos ..y al otro no sabemos....
Sin palabras,Sin palabras
Váyanse a la vrg tan joven pudfffd,Váyanse a la vrg tan joven pudfffd
Cuando toca toca y dios sabe porque,Cuando toca toca y dios sabe porque
Que pena.Dios le dé la gloria eterna,Que pena.Dios le dé la gloria eterna
Que la pena de haberlo perdido: no nos quite la alegria de haberlo tenido. Fuerza familiares y amigos siempre.,Que la pena de haberlo perdido no nos quite la alegria de haberlo tenido. Fuerza familiares y amigos siempre.
Los caminos del señor son imprescindibles.,Los caminos del señor son imprescindibles.
"Que duro, paz a sus restos y fortaleza a su familia","Que duro, paz a sus restos y fortaleza a su familia"
"X favor Dios ,dale consuelo a esta familia","X favor Dios ,dale consuelo a esta familia"
Que triste pérdida Q.E.P.D,Que triste pérdida Q.E.P.D
QUE DIOS LE DE FORTALEZA A LA MAMA.....QUE SUS 2 HIJOS VUELEN ALTO.....,QUE DIOS LE DE FORTALEZA A LA MAMA.....QUE SUS 2 HIJOS VUELEN ALTO.....
.,.
k pena,k pena
Qué fuerte!,Qué fuerte!
Mucha fuerza para esa esposa y para esos padres q están destrozados mucho ánimo,Mucha fuerza para esa esposa y para esos padres q están destrozados mucho ánimo
"Bueno veamos el lado positivos hay algunos que e van de este mundo sin tener un solo hijos en la completa miseria, eso es la vida","Bueno veamos el lado positivos hay algunos que e van de este mundo sin tener un solo hijos en la completa miseria, eso es la vida"
La vida teda sorpresas,La vida teda sorpresas
Que pena,Que pena
Dios lo acoja en su reino,Dios lo acoja en su reino
"No es muy comun en el futbol .joder yo recuerdo que al jugar incluso decia ,la tiene ""diogo shotaa"".triste para toda nuestra comunidad futbol","No es muy comun en el futbol .joder yo recuerdo que al jugar incluso decia ,la tiene diogo shotaa.triste para toda nuestra comunidad futbol"
Que triste que pasen cosas como estas esta de luto el fútbol y el mundo entero que ama este lindo deporte fuerza a sus familiares,Que triste que pasen cosas como estas esta de luto el fútbol y el mundo entero que ama este lindo deporte fuerza a sus familiares
EPD,EPD
"Que triste. noticia, sus hijitos tan lindos, su esposa.","Que triste. noticia, sus hijitos tan lindos, su esposa."
Dios les de mucha fortaleza y resignación.,Dios les de mucha fortaleza y resignación.
Que Dios lo tenga en su santa Gloria,Que Dios lo tenga en su santa Gloria
Que ha pasado??,Que ha pasado??
Por que la vida a veces es tan injusta,Por que la vida a veces es tan injusta
"Los momentos más lindos duran poco, la verdadera felicidad, valoren infinitamente aquellos momentos que se les presente en esta jodida vida...","Los momentos más lindos duran poco, la verdadera felicidad, valoren infinitamente aquellos momentos que se les presente en esta jodida vida..."
Che ¿te imaginás el dolor tan grande de sus familiares y en especial su esposa?,Che ¿te imaginás el dolor tan grande de sus familiares y en especial su esposa?
Que pena,Que pena
Descansa em paz,Descansa em paz
"D.E.P , muy injusta esta vida","D.E.P , muy injusta esta vida"
Caprichosa no la inmadurez de una persona sabiendo que tienen una carrera y familia por delante,Caprichosa no la inmadurez de una persona sabiendo que tienen una carrera y familia por delante
Yo deberás no comprendo por qué pasan estas cosas? No entiendo...,Yo deberás no comprendo por qué pasan estas cosas? No entiendo...
Normal. Lo bueno dura poco asi que cuando sientas que eres feliz disfrutalo porque va acabar,Normal. Lo bueno dura poco asi que cuando sientas que eres feliz disfrutalo porque va acabar
Fortaleza para su esposa y no sabemos cuando ni a que hora sera nuestro ultimo paso descanse en paz,Fortaleza para su esposa y no sabemos cuando ni a que hora sera nuestro ultimo paso descanse en paz
D.E.P. amen,D.E.P. amen
Por eso disfrutemos lo que nos da la vida ; aprovechemos el tiempo y solo… amemos!,Por eso disfrutemos lo que nos da la vida ; aprovechemos el tiempo y solo amemos!
"Muy lamentable y triste,así es la vida, al ser humano nos han enseñado a prepararnos para vivir y tenerlo todo para este mundo,Pero muchas veces dejamos a un lado lo espiritual e ignoramos que en la vida Dios lo es todo tengas fama dinero o no, porque al final todos tenemos que morir pero las personas aveces olvidan que no somos eternos y que de una u otra forma partiremos de este mundo y hay que prepararse para eso, para el dolor inesperado porque en ese momento no hay nada terrenal que te consuele y ese dolor solo lo calma Dios en nuestros corazones","Muy lamentable y triste,así es la vida, al ser humano nos han enseñado a prepararnos para vivir y tenerlo todo para este mundo,Pero muchas veces dejamos a un lado lo espiritual e ignoramos que en la vida Dios lo es todo tengas fama dinero o no, porque al final todos tenemos que morir pero las personas aveces olvidan que no somos eternos y que de una u otra forma partiremos de este mundo y hay que prepararse para eso, para el dolor inesperado porque en ese momento no hay nada terrenal que te consuele y ese dolor solo lo calma Dios en nuestros corazones"
A una familia q pierde a 2 de sus hijos .,A una familia q pierde a 2 de sus hijos .
Cumplió muy bien su misión hacer felices a los suyos y su gran afición.,Cumplió muy bien su misión hacer felices a los suyos y su gran afición.
"La vida es así hoy estamos mañana quién sabe, que triste no lo puedo creer que DIOS le dé muchas fuerzas a sus familiares","La vida es así hoy estamos mañana quién sabe, que triste no lo puedo creer que DIOS le dé muchas fuerzas a sus familiares"
QEPD,QEPD
No me puedo imaginar el dolor de la familia pero espero esto sea una lección q hay q conducir con precaución y no con alta velocidad para que evitar este tipo de trajedia q lamentaremos por el resto de nuestras vidas,No me puedo imaginar el dolor de la familia pero espero esto sea una lección q hay q conducir con precaución y no con alta velocidad para que evitar este tipo de trajedia q lamentaremos por el resto de nuestras vidas
Que dios los reciba en su santa gloria y descansen en la paz del señor,Que dios los reciba en su santa gloria y descansen en la paz del señor
Qepd....muy triste noticia. Fuerzas a la familia.,Qepd....muy triste noticia. Fuerzas a la familia.
Que Dios os bendiga a los cinco.,Que Dios os bendiga a los cinco.
"Que triste que QEPD Diogo Jota, fuerza a la familia, los acompaño en su dolor.","Que triste que QEPD Diogo Jota, fuerza a la familia, los acompaño en su dolor."
Por andar corriendo como loco.,Por andar corriendo como loco.
Amen,Amen
Que triste tan joven.,Que triste tan joven.
"Mis condolencias para sus papás ,esposa sus niños que triste va a ser su vida doy en adelante mucho ánimo que Dios los ilumine y los proteja siempre Amén","Mis condolencias para sus papás ,esposa sus niños que triste va a ser su vida doy en adelante mucho ánimo que Dios los ilumine y los proteja siempre Amén"
Qie desgracia dios,Qie desgracia dios
EPD,EPD
"No dicen nombre ni en qué equipo jugaba, ni de que país. Es como falsa noticia. Hunmmm","No dicen nombre ni en qué equipo jugaba, ni de que país. Es como falsa noticia. Hunmmm"
Dios mio padre amado fortaleza para toda su familia y guardanos apadre cubrenos con tu sangre poderosa que tiene poder en todo momento Dios. Mio,Dios mio padre amado fortaleza para toda su familia y guardanos apadre cubrenos con tu sangre poderosa que tiene poder en todo momento Dios. Mio
"Dios lo tenga en la gloria, nosotros lo amantes del futbol estamos tristes, perdimos a un gran jugador y una buena persona","Dios lo tenga en la gloria, nosotros lo amantes del futbol estamos tristes, perdimos a un gran jugador y una buena persona"
Que tristeza siento en mi corazón descansa en paz Diego Jota nunca te olvidaremos te vas dejando el nombres de tu país en lo más alto,Que tristeza siento en mi corazón descansa en paz Diego Jota nunca te olvidaremos te vas dejando el nombres de tu país en lo más alto
QEPD,QEPD
Que injusta es la vida a veces...,Que injusta es la vida a veces...
Que Pena! Muchísimo ánimo a la familia.,Que Pena! Muchísimo ánimo a la familia.
D.E.P.,D.E.P.
"Que triste encontrarse con esta noticia, resignación cristiana a su familia","Que triste encontrarse con esta noticia, resignación cristiana a su familia"
M..Fortaleza,M..Fortaleza
Que pena...aun no me lo creo que triste,Que pena...aun no me lo creo que triste
Asuuu que tristeza,Asuuu que tristeza
Pronta resignación a toda la familia,Pronta resignación a toda la familia
Condolencias a la familia,Condolencias a la familia
QEPD mis condolencias a su familia,QEPD mis condolencias a su familia
Muy triste. Una familia tan bonita,Muy triste. Una familia tan bonita
Que pena,Que pena
Fortaleza para su familia,Fortaleza para su familia
"Q dolor tan grande para los padres de estos dos muchachos,sobran las palabras en este momento tan triste,yo soy muy aficionada al fooboll y solo dijo q en verdad me invade la tristeza,Dios permita mucha resignación a toda su familia y q Dios nuestro señor tenga en su santo reino a estos muchachos","Q dolor tan grande para los padres de estos dos muchachos,sobran las palabras en este momento tan triste,yo soy muy aficionada al fooboll y solo dijo q en verdad me invade la tristeza,Dios permita mucha resignación a toda su familia y q Dios nuestro señor tenga en su santo reino a estos muchachos"
No me lo creo,No me lo creo
"Dios mío!!!!
Mucha fortaleza a su familia que en paz Descansen.","Dios mío!!!!
Mucha fortaleza a su familia que en paz Descansen."
Y tres chicos omg,Y tres chicos omg
"Oh Dios santo, la vida es un ratito
Q.D.E.P fortaleza a su familia","Oh Dios santo, la vida es un ratito
Q.D.E.P fortaleza a su familia"
queeee,queeee
Que descanse en paz y brille para él la luz que no tiene fin . Y que Dios dé consuelo a su familia y la proteja siempre .,Que descanse en paz y brille para él la luz que no tiene fin . Y que Dios dé consuelo a su familia y la proteja siempre .
"Que desgracia se fue un gran jugador, condole ncias a su familia.","Que desgracia se fue un gran jugador, condole ncias a su familia."
"La mayoría de las notas solo hablan de él, Diogo y su HERMANO!!!","La mayoría de las notas solo hablan de él, Diogo y su HERMANO!!!"
Tremendo jugador te vamos a estrañar descanza es paz,Tremendo jugador te vamos a estrañar descanza es paz
Cuando los humos se suben a la cabeza y se creen inmortales.,Cuando los humos se suben a la cabeza y se creen inmortales.
Pero que paso o que?,Pero que paso o que?
"Que injusta es la vida con los mas buenos
...","Que injusta es la vida con los mas buenos
..."
MHSRIP,MHSRIP
DOLOR..MAS DOLOR...FUERZA A TODA LA FAMILIA,DOLOR..MAS DOLOR...FUERZA A TODA LA FAMILIA
EPD,EPD
Que le sucedió,Que le sucedió
DESCASE EN PAZ,DESCASE EN PAZ
Solo Dios sabe nuestro destino D.E.P,Solo Dios sabe nuestro destino D.E.P
"La Gambeta
ahora es la vida... Y no la responsabilidad de uno mismo... Que tal eh... Ahora los accidentes los causa la Vida por qué es caprichosa ... Interesante","La Gambeta
ahora es la vida... Y no la responsabilidad de uno mismo... Que tal eh... Ahora los accidentes los causa la Vida por qué es caprichosa ... Interesante"
Que tristeza,Que tristeza
que triste Dios solo vos tenés esa respuesta x que señor milagroso x que la vida hace esto x que,que triste Dios solo vos tenés esa respuesta x que señor milagroso x que la vida hace esto x que
Muy triste,Muy triste
Tristeza infinita....que diosito lo tenga a su lado x dios fuerza a su fia,Tristeza infinita....que diosito lo tenga a su lado x dios fuerza a su fia
Rest In Heaven,Rest In Heaven
"Hermosa familia!, que Dios le dé consuelo a su esposa y sus hijos.","Hermosa familia!, que Dios le dé consuelo a su esposa y sus hijos."
"Diogo se que tú famas seva quedar inolvidable en este mundo, demostraste todos tus jerarquía como futbolista le isiste vibrar a tu sere queridos/as, que descanse en paz amigo. Amén","Diogo se que tú famas seva quedar inolvidable en este mundo, demostraste todos tus jerarquía como futbolista le isiste vibrar a tu sere queridosas, que descanse en paz amigo. Amén"
Por eso dice Dios en su palabra Veníd luego y estemos a cuentas. De qué le sirve al hombre ganar el mundo y perder su alma. No sabemos el día ni la ora. Por eso tenemos que buscar a Dios de corazón y alejarse del pecado antes que sea demaciado tarde,Por eso dice Dios en su palabra Veníd luego y estemos a cuentas. De qué le sirve al hombre ganar el mundo y perder su alma. No sabemos el día ni la ora. Por eso tenemos que buscar a Dios de corazón y alejarse del pecado antes que sea demaciado tarde
En gloria esté,En gloria esté
"EPD
crack","EPD
crack"
Mis condolencias .,Mis condolencias .
Que en paz descanse,Que en paz descanse
Hasta pronto Diogo y Andre,Hasta pronto Diogo y Andre
Dios le de mucha fortaleza en estos momentos a su familia. Descansa en Paz,Dios le de mucha fortaleza en estos momentos a su familia. Descansa en Paz
"Tener que sepultar a dos de tus hijos el mismo día debe ser lo más difícil de todo, sus padres deben estar devastados","Tener que sepultar a dos de tus hijos el mismo día debe ser lo más difícil de todo, sus padres deben estar devastados"
Que horror,Que horror
Que le pasó?,Que le pasó?
Que tristeza más grande para una familia Dios les de la fuerza por el dolor de la partida de estos jóvenes que Dios le reciba en su santo reino Q E P D,Que tristeza más grande para una familia Dios les de la fuerza por el dolor de la partida de estos jóvenes que Dios le reciba en su santo reino Q E P D
QEPD.,QEPD.
Que tristeza,Que tristeza
Pobre niños se quedan sin padre,Pobre niños se quedan sin padre
"Diosssss miooooo que tristeza que dolor tan grande para sus padres, esposa e hijos
y amigos verdaderos
muy triste
desde Venezuela
mucha fortaleza, resignación y mucha paz QEPD chicos..la perdida de dos hijos
en realidad de ningún hijo
No está nada fácil mucha terapia mi Dios ayuda a su familia con ese inmenso dolor
es muy fuerte","Diosssss miooooo que tristeza que dolor tan grande para sus padres, esposa e hijos
y amigos verdaderos
muy triste
desde Venezuela
mucha fortaleza, resignación y mucha paz QEPD chicos..la perdida de dos hijos
en realidad de ningún hijo
No está nada fácil mucha terapia mi Dios ayuda a su familia con ese inmenso dolor
es muy fuerte"
"Mucha fuerza a la familia, Q. E. P. D","Mucha fuerza a la familia, Q. E. P. D"
Por irresponsable esa. Es la vverdad,Por irresponsable esa. Es la vverdad
Que tristeza sin palabras,Que tristeza sin palabras
Triste noticia,Triste noticia
Descanse en paz bendiciones para toda su familia,Descanse en paz bendiciones para toda su familia
Padre celestial...q terrible noticia... Vuela alto crack y que Diosito le de consuelo a tú familia Estoy en shock y muy triste..yo que soy un aficionado ya me imagino el dolor tan grande de tu familia....,Padre celestial...q terrible noticia... Vuela alto crack y que Diosito le de consuelo a tú familia Estoy en shock y muy triste..yo que soy un aficionado ya me imagino el dolor tan grande de tu familia....
DEP,DEP
Solo porque es figura pública dicen que lo siente y hay pobrecito El Por lo menos conoció a sus hijos y los disfrutó Dios le dio la dicha de conocerlos y ser padre de tres y de disfrutar el día de su boda.,Solo porque es figura pública dicen que lo siente y hay pobrecito El Por lo menos conoció a sus hijos y los disfrutó Dios le dio la dicha de conocerlos y ser padre de tres y de disfrutar el día de su boda.
"Mi hermano se casó sin antes vivir con su esposa y antes del año murió estando ella embarazada el no conoció a su niño sabia con lo iba a llamar y compró una casa con grande jardín con un pequeña colina pensando en cómo jugaría con su niño futbol xq a el le encantaba jugar y no pudo hacerlo se nos adelantó ahora su niño tiene 18 años esta a punto de entrar a la universidad, la edad de mi hermano acababa de cumplir 26 años un mes antes de su partida","Mi hermano se casó sin antes vivir con su esposa y antes del año murió estando ella embarazada el no conoció a su niño sabia con lo iba a llamar y compró una casa con grande jardín con un pequeña colina pensando en cómo jugaría con su niño futbol xq a el le encantaba jugar y no pudo hacerlo se nos adelantó ahora su niño tiene 18 años esta a punto de entrar a la universidad, la edad de mi hermano acababa de cumplir 26 años un mes antes de su partida"
Que triste más que desde el punto de vista de que fuera un jugador era una hermosa familia que pesar,Que triste más que desde el punto de vista de que fuera un jugador era una hermosa familia que pesar
"Que fuerte,los nenes tan pequeños","Que fuerte,los nenes tan pequeños"
Abrazos a la familia hermosa.,Abrazos a la familia hermosa.
Dios les de la fortaleza .,Dios les de la fortaleza .
Q. E. P. D,Q. E. P. D
También iba con su hermano menor,También iba con su hermano menor
Todo Portugal estamos en shock!,Todo Portugal estamos en shock!
QEPD mis condolencias a su familia y amigos... Una gran tragedia...,QEPD mis condolencias a su familia y amigos... Una gran tragedia...
Que pena,Que pena
Una noticia fuerte,Una noticia fuerte
Ella pueda que vuelva a tener un nuevo compañero...pero los hijos nunca volverán a tener a su padre,Ella pueda que vuelva a tener un nuevo compañero...pero los hijos nunca volverán a tener a su padre
QEPD y mis Condolencias para Familiares y Amigos!,QEPD y mis Condolencias para Familiares y Amigos!
"Q.E.P.D. DIOS MEDIANTE dale Fuerza y Fortaleza a la familia. Una noticia muy
triste","Q.E.P.D. DIOS MEDIANTE dale Fuerza y Fortaleza a la familia. Una noticia muy
triste"
EPD,EPD
Dígame que no es real,Dígame que no es real
"Que tristeza tan grande.Tan joven. Que en paz descanse
Fortaleza a sus Seres Queridos.","Que tristeza tan grande.Tan joven. Que en paz descanse
Fortaleza a sus Seres Queridos."
Q E.P.D.,Q E.P.D.
"Ni que se hubiera puesto de acuerdo con Luis Díaz , su compañero en Liverpool , para realizar sus bodas de verano .","Ni que se hubiera puesto de acuerdo con Luis Díaz , su compañero en Liverpool , para realizar sus bodas de verano ."
tanta. gente muere por. velocidad la adrenalina. no. entendemos,tanta. gente muere por. velocidad la adrenalina. no. entendemos
"Esa es la vida, todo está bonito y en un abrir y cerrar de ojos, todo lo bonito se puede convertir en llanto.","Esa es la vida, todo está bonito y en un abrir y cerrar de ojos, todo lo bonito se puede convertir en llanto."
Quedar sin padre no es fácil,Quedar sin padre no es fácil
Que en paz descanse y que dios lo tenga en su santa gloria,Que en paz descanse y que dios lo tenga en su santa gloria
La vida es injusta para todos,La vida es injusta para todos
QDEP,QDEP
QEPD!! Pobre muchacho. Tan joven.,QEPD!! Pobre muchacho. Tan joven.
Paz en su tumba,Paz en su tumba
Q.D.E.P Diogo Jota el fútbol mundial esta de luto,Q.D.E.P Diogo Jota el fútbol mundial esta de luto
paz en su tumba,paz en su tumba
D.E.P. gran tragedia,D.E.P. gran tragedia
"Triste, pero desafortunadamente una estadística más de respeto hacia el volante de un auto, por más bueno que sea marca etc. Un segundo termina con la felicidad, carretera manzanillo - Guadalajara todos los días se va gente y en la mayoría sin tener culpa, en paz descance.","Triste, pero desafortunadamente una estadística más de respeto hacia el volante de un auto, por más bueno que sea marca etc. Un segundo termina con la felicidad, carretera manzanillo Guadalajara todos los días se va gente y en la mayoría sin tener culpa, en paz descance."
paz en su tumba y mucha fuerza para su familia,paz en su tumba y mucha fuerza para su familia
por qué,por qué
descansé en paz,descansé en paz
"No cabe duda que el mundo del fútbol está de luto con esta infausta noticia, era clase de jugador disfrutábamos viendolo jugar.","No cabe duda que el mundo del fútbol está de luto con esta infausta noticia, era clase de jugador disfrutábamos viendolo jugar."
"Dios lo tenga en su santa gloria
a el y a su hermano.","Dios lo tenga en su santa gloria
a el y a su hermano."
"Que pena,D E P","Que pena,D E P"
"Que Dolor para.esta.FamiliaJOTA TRAJICAMENTE SE FUERON DOS HERMANOS,X DIOS QUE TRISTEZA PARA PADRES HERMANOS/AS SEÑORA E HIJOS DIOS LES DE MUCHA FORTALEZA YMUCHA FUERZA PARA SALIR ADELANTE. DIOS LOS RECIBA EN SU CENO,QUE DESCANSEN EN PAZ SUS ALMAS","Que Dolor para.esta.FamiliaJOTA TRAJICAMENTE SE FUERON DOS HERMANOS,X DIOS QUE TRISTEZA PARA PADRES HERMANOSAS SEÑORA E HIJOS DIOS LES DE MUCHA FORTALEZA YMUCHA FUERZA PARA SALIR ADELANTE. DIOS LOS RECIBA EN SU CENO,QUE DESCANSEN EN PAZ SUS ALMAS"
Que injusta es la vida,Que injusta es la vida
EPD,EPD
No me la creo todavía,No me la creo todavía
Que pena este chico joven tenia una linda flia recién casado pero Dios quiso que sea asi y debemos de respetar Amén,Que pena este chico joven tenia una linda flia recién casado pero Dios quiso que sea asi y debemos de respetar Amén
En paz descanse.,En paz descanse.
El corazón del hombre piensa su camino; Mas Jehová endereza sus pasos.,El corazón del hombre piensa su camino; Mas Jehová endereza sus pasos.
"Proverbios 16:9. SIENTO MUCHO LO SUCEDIDO NOSOTROS HACEMOS PLANES, PERO QUIEN DIRIGE NUESTRO CAMINO ES DIOS, DUELE MUCHO PERDER UN SER QUERIDO. DIOS DE FORTALEZA A TODA LA FAMILIA EN ESPECIAL SU ESPOSA E HIJOS. PERMITA QUE DIOS LOS ABRACE QUITE TODO DOLOR, TRISTEZA DEL CORAZÓN.","Proverbios 169. SIENTO MUCHO LO SUCEDIDO NOSOTROS HACEMOS PLANES, PERO QUIEN DIRIGE NUESTRO CAMINO ES DIOS, DUELE MUCHO PERDER UN SER QUERIDO. DIOS DE FORTALEZA A TODA LA FAMILIA EN ESPECIAL SU ESPOSA E HIJOS. PERMITA QUE DIOS LOS ABRACE QUITE TODO DOLOR, TRISTEZA DEL CORAZÓN."
"Era un gran jugador lo lanzó el at, Madrid","Era un gran jugador lo lanzó el at, Madrid"
Que Dios le de fuerza,Que Dios le de fuerza
No hay palabras de consuelo para tanto dolor...recién casados con sus hijitos y novios desde siempre. Y también falleció su hermano...QEPD y mis condolencias a su flia.amigos y compañeros...Muy triste final para una flia. Tan hermosa y querida,No hay palabras de consuelo para tanto dolor...recién casados con sus hijitos y novios desde siempre. Y también falleció su hermano...QEPD y mis condolencias a su flia.amigos y compañeros...Muy triste final para una flia. Tan hermosa y querida
"Que Dios te de mucha fortaleza para usted y su familia es muy triste
descansa en paz","Que Dios te de mucha fortaleza para usted y su familia es muy triste
descansa en paz"
La vida es como un relámpago que aparece y luego desaparece.,La vida es como un relámpago que aparece y luego desaparece.
DEP,DEP
La vida es así... Solo queda decir que descanses en paz y que tú familia tenga muchas fuerzas para poder superar esta tragedia... Mi más sentido pésame a toda la familia. Siempre te recordaremos Diogo...,La vida es así... Solo queda decir que descanses en paz y que tú familia tenga muchas fuerzas para poder superar esta tragedia... Mi más sentido pésame a toda la familia. Siempre te recordaremos Diogo...
Q E P D VuelaaltoDoogo Jota,Q E P D VuelaaltoDoogo Jota
Que pena D.E.P.,Que pena D.E.P.
"Tan joven ,como le cambiará la vida a su familia sin El,no sabía nada de Él pero me entristeció mucho la noticia","Tan joven ,como le cambiará la vida a su familia sin El,no sabía nada de Él pero me entristeció mucho la noticia"
Dios mio !!!,Dios mio !!!
Paz a sus almas fortaleza a su familia oración,Paz a sus almas fortaleza a su familia oración
QEPD..AMEN.,QEPD..AMEN.
"Que la Santisima Trinidad ilumine tu descanso eterno, y llene de fortaleza a tu familia.","Que la Santisima Trinidad ilumine tu descanso eterno, y llene de fortaleza a tu familia."
Eso tiene ser imprudente conduciendo,Eso tiene ser imprudente conduciendo
Pobres los que quedan,Pobres los que quedan
Descansa en paz campeón,Descansa en paz campeón
Epd,Epd
"Consuelo a sus padres,esposa y hijos...Q.E.P.D. a los dos hermanos desde Argentina","Consuelo a sus padres,esposa y hijos...Q.E.P.D. a los dos hermanos desde Argentina"
Que pena,Que pena
Vaya tela que palo,Vaya tela que palo
Sabiduría y fortaleza para toda la familia,Sabiduría y fortaleza para toda la familia
Que descanse en paz y brille para él la luz perpétua,Que descanse en paz y brille para él la luz perpétua
"Que tristeza, Dios mio ..","Que tristeza, Dios mio .."
Que dolor tan grande ombe,Que dolor tan grande ombe
EPD,EPD
"Que fuerte e inesperada noticia y triste para el mundo del futbol, Un Jugador que no sera de la Elite, pero que estaba para destacar por varios años mas aun, y con mucho aporte en Liverpool, Sobre todo y a la distancia, tengo la sensacion de que era una buena persona, una pena esa familia hermosa que haya quedado destruida, QEPD Diogo","Que fuerte e inesperada noticia y triste para el mundo del futbol, Un Jugador que no sera de la Elite, pero que estaba para destacar por varios años mas aun, y con mucho aporte en Liverpool, Sobre todo y a la distancia, tengo la sensacion de que era una buena persona, una pena esa familia hermosa que haya quedado destruida, QEPD Diogo"
Mi más sentido pésame para todos tus familiares,Mi más sentido pésame para todos tus familiares
Que nuestro divino que lo tenga en su gloria,Que nuestro divino que lo tenga en su gloria
"Este gente que ponen like en el dolor ajeno se crean que Karma no existe esto no para poner ningún like para el sufrimiento que esta pasando una madre, un padre, una esposa, los hijos y todas sus familia","Este gente que ponen like en el dolor ajeno se crean que Karma no existe esto no para poner ningún like para el sufrimiento que esta pasando una madre, un padre, una esposa, los hijos y todas sus familia"
"Que descanse en paz Amén
lo lamento mucho DIOS les de mucha fortaleza y bendiciones a todos de la familia Amén gloria a Dios","Que descanse en paz Amén
lo lamento mucho DIOS les de mucha fortaleza y bendiciones a todos de la familia Amén gloria a Dios"
10 días de casados,10 días de casados
"Triste noticia a los pocos días de haber oficializado su boda religiosa, sufre este terrible accidente juntos a su hermano. QEPD. A su Familia que Dios les dé consuelo","Triste noticia a los pocos días de haber oficializado su boda religiosa, sufre este terrible accidente juntos a su hermano. QEPD. A su Familia que Dios les dé consuelo"
Ese dolor tan grande para esos padres que se le vayan a sus dos hijos tan terribles,Ese dolor tan grande para esos padres que se le vayan a sus dos hijos tan terribles
Que Dios lo tenga en su santa gloria y mucha fuerza para toda su familia,Que Dios lo tenga en su santa gloria y mucha fuerza para toda su familia
Que injusta es la vida.,Que injusta es la vida.
Dios lo tenga en su Santa Gloria y muchas bendiciones para su familia esposa e hijos,Dios lo tenga en su Santa Gloria y muchas bendiciones para su familia esposa e hijos
Quien era y que le sucedió?,Quien era y que le sucedió?
Q feo dejar sus chiquitines sin su papa,Q feo dejar sus chiquitines sin su papa
Condolencias a su familia y tristeza de una vida rota,Condolencias a su familia y tristeza de una vida rota
Lamentablemente noticia EPD,Lamentablemente noticia EPD
No sean tan hipócritas hijos de su madre y de su padre. Todos los días mujen seres humanos y no se lamentan. Mejor vayan a ver si puso la marrana,No sean tan hipócritas hijos de su madre y de su padre. Todos los días mujen seres humanos y no se lamentan. Mejor vayan a ver si puso la marrana
no es caprichosa al tener un auto de ese calibre debes ser responsable con tus actos y mas si tienes una hermosa familia triste noticia,no es caprichosa al tener un auto de ese calibre debes ser responsable con tus actos y mas si tienes una hermosa familia triste noticia
"Tristeza es lo que siento, no más!!","Tristeza es lo que siento, no más!!"
Que triste noticia. Dios les de fuerza a esa flia q queda,Que triste noticia. Dios les de fuerza a esa flia q queda
Mis condolencias para toda su familia. QEPD y que Dios los tenga en su gloria,Mis condolencias para toda su familia. QEPD y que Dios los tenga en su gloria
EPD,EPD
Usted Que Sabe si Hubo Exceso de Velocidad...RESPETE...,Usted Que Sabe si Hubo Exceso de Velocidad...RESPETE...
"Falleció también su hermanito en el accidente, aunque no era famoso apenas estaba comenzando su carrera y merece también ser nombrado Dios los tenga en su gloria y descansen en paz.","Falleció también su hermanito en el accidente, aunque no era famoso apenas estaba comenzando su carrera y merece también ser nombrado Dios los tenga en su gloria y descansen en paz."
Q.E.P.D,Q.E.P.D
